No,ID,Bus_Stop_Name_MM,Bus_Stop_Name_EN,Township_MM,Township_EN,Road_MM,Road_EN,Latitude,Longitude,Google_Maps_URL,Source
1,1,ကျောင်းရှေ့/ကုန်းဆင်း,Kyaung Shae/ Kone Sin,ကမာရွတ်,Kamayut,လှည်းတန်းလမ်း,Hledan Road,16.825525,96.126583,"https://www.google.com/maps?q=16.825525,96.126583",YBS / YRTA Official
2,2,ကျောင်းရှေ့/ဓမ္မာရုံ,Kyaung Shae/ Dhamar Yon,ကမာရွတ်,Kamayut,တက္ကသိုလ်ရိပ်သာလမ်း,University Avenue Road,16.826485,96.132192,"https://www.google.com/maps?q=16.826485,96.132192",YBS / YRTA Official
3,3,ကျောင်းလမ်း,Kyuanlan,ကမာရွတ်,Kamayut,တက္ကသိုလ်ရိပ်သာလမ်း,University Avenue Road,16.825918,96.13846,"https://www.google.com/maps?q=16.825918,96.138460",YBS / YRTA Official
4,4,ခိုင်ရွှေဝါ,Khaing Shwe Wah,ကမာရွတ်,Kamayut,ဗဟိုလမ်း,Baho Road,16.8257,96.125134,"https://www.google.com/maps?q=16.825700,96.125134",YBS / YRTA Official
5,5,စံရိပ်ငြိမ်,San Yeik Nyein,ကမာရွတ်,Kamayut,ရန်ကုန်-အင်းစိန်လမ်း,Yangon-Insein Road,16.830802,96.129527,"https://www.google.com/maps?q=16.830802,96.129527",YBS / YRTA Official
6,6,စိုက်ပျိုးရေး,Saik Pyoe Yay,ကမာရွတ်,Kamayut,ပြည်လမ်း,Pyay Road,16.817862,96.133326,"https://www.google.com/maps?q=16.817862,96.133326",YBS / YRTA Official
7,7,ဆိုက်ကားဂိတ်,Site Kar Gate,ကမာရွတ်,Kamayut,ဗဟိုလမ်း,Baho Road,16.831456,96.123502,"https://www.google.com/maps?q=16.831456,96.123502",YBS / YRTA Official
8,8,ဆင်ရေတွင်း,Sin Yae Twin,ကမာရွတ်,Kamayut,ရန်ကုန်-အင်းစိန်လမ်း,Yangon-Insein Road,16.833769,96.128565,"https://www.google.com/maps?q=16.833769,96.128565",YBS / YRTA Official
9,9,ပြည်ရိပ်မွန်,Pyi Yeik Mon,ကမာရွတ်,Kamayut,ဗဟိုလမ်း,Baho Road,16.822004,96.125767,"https://www.google.com/maps?q=16.822004,96.125767",YBS / YRTA Official
10,10,ဘီအာဘီ,B.R.B,ကမာရွတ်,Kamayut,ဗဟိုလမ်း,Baho Road,16.828871,96.124352,"https://www.google.com/maps?q=16.828871,96.124352",YBS / YRTA Official
11,11,မာလာ,Marlar,ကမာရွတ်,Kamayut,ပြည်လမ်း,Pyay Road,16.832547,96.132826,"https://www.google.com/maps?q=16.832547,96.132826",YBS / YRTA Official
12,12,ရေကြောင်း,Yae Kyaung,ကမာရွတ်,Kamayut,ဘုရင့်နောင်လမ်း,Bayint Naung Road,16.830092,96.121861,"https://www.google.com/maps?q=16.830092,96.121861",YBS / YRTA Official
13,13,ရဲဝင်း,Ye Win,ကမာရွတ်,Kamayut,ဗဟိုလမ်း,Baho Road,16.817803,96.12658,"https://www.google.com/maps?q=16.817803,96.126580",YBS / YRTA Official
14,14,လှည်းတန်း,Hledan,ကမာရွတ်,Kamayut,ရန်ကုန်-အင်းစိန်လမ်း,Yangon-Insein Road,16.827952,96.130435,"https://www.google.com/maps?q=16.827952,96.130435",YBS / YRTA Official
15,15,လှည်းတန်းဈေး,Hledan Zay,ကမာရွတ်,Kamayut,လှည်းတန်းလမ်း,Hledan Road,16.826457,96.128887,"https://www.google.com/maps?q=16.826457,96.128887",YBS / YRTA Official
16,16,သင်္ဘောကျင်း,Thinbaw Kyin,ကမာရွတ်,Kamayut,ဘုရင့်နောင်လမ်း,Bayint Naung Road,16.82442,96.123027,"https://www.google.com/maps?q=16.824420,96.123027",YBS / YRTA Official
17,17,(၄၆) လမ်း,Lay-sae-chauk Lan (46 Lan),ကျောက်တံတား,Kyauktada,အနော်ရထာလမ်း,Anawrahta Road,16.776532,96.168562,"https://www.google.com/maps?q=16.776532,96.168562",YBS / YRTA Official
18,18,ဆူးလေပန်းခြံ,Sule Pan Chan,ကျောက်တံတား,Kyauktada,မဟာဗန္ဓုလလမ်း,Mahabandoola Road,16.774246,96.159554,"https://www.google.com/maps?q=16.774246,96.159554",YBS / YRTA Official
19,19,ဆူးလေမြို့တော်ခန်းမ,Sule Myodaw Khan Ma,ကျောက်တံတား,Kyauktada,ဆူးလေးဘုရားလမ်း,Sule Pagoda Road,16.775754,96.158879,"https://www.google.com/maps?q=16.775754,96.158879",YBS / YRTA Official
20,20,ပန်းဆိုးတန်း,Pansodan,ကျောက်တံတား,Kyauktada,အနော်ရထာလမ်း,Anawrahta Road,16.776707,96.163806,"https://www.google.com/maps?q=16.776707,96.163806",YBS / YRTA Official
